,Location,Area,Bed,Bath,Price
1359,"Block A, Bashundhara R-A, Dhaka","2,400 sqft",3,4,90 Thousand
1360,"Block A, Bashundhara R-A, Dhaka","2,400 sqft",3,4,90 Thousand
1361,"Sector 2, Block H, Aftab Nagar, Dhaka","1,250 sqft",3,3,16 Thousand
1362,"Ullan, Rampura, Dhaka",725 sqft,2,2,14 Thousand
1363,"Sector 14, Uttara, Dhaka","1,650 sqft",3,3,48 Thousand
1364,"Sector 14, Uttara, Dhaka","1,650 sqft",3,3,48 Thousand
1365,"Sector 14, Uttara, Dhaka","1,650 sqft",3,3,48 Thousand
1366,"Mirpur, Dhaka",550 sqft,1,1,8 Thousand
1367,"Block F, Bashundhara R-A, Dhaka","1,680 sqft",3,3,26 Thousand
1368,"Baridhara, Dhaka","4,138 sqft",4,4,1.6 Lakh
1369,"Block E, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka","1,200 sqft",3,3,22 Thousand
1370,"Sector 1, Uttara, Dhaka","1,650 sqft",3,4,70 Thousand
1371,"Shyamoli, Dhaka","1,800 sqft",3,3,30 Thousand
1372,"Banani, Dhaka","2,500 sqft",4,4,1.1 Lakh
1373,"Banani, Dhaka","2,500 sqft",4,4,1 Lakh
1374,"Block C, Dhaka Uddan, Mohammadpur, Dhaka","1,250 sqft",3,3,18 Thousand
1375,"Dhanmondi, Dhaka","1,500 sqft",3,3,40 Thousand
1376,"Block D, Bashundhara R-A, Dhaka","2,400 sqft",3,4,50 Thousand
1377,"Sector 1, Uttara, Dhaka","1,235 sqft",3,3,35 Thousand
1378,"Sector 13, Uttara, Dhaka","1,500 sqft",3,2,25 Thousand
1379,"Kafrul, Dhaka",900 sqft,2,2,15 Thousand
1380,"Kafrul, Dhaka",750 sqft,2,1,12.5 Thousand
1381,"Sector 13, Uttara, Dhaka","1,500 sqft",3,3,30 Thousand
1382,"Block L, Bashundhara R-A, Dhaka","1,400 sqft",3,3,19 Thousand
1383,"Block G, Bashundhara R-A, Dhaka","1,800 sqft",3,4,40 Thousand
1384,"Block C, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka","1,000 sqft",3,2,15.5 Thousand
1385,"Block B, Niketan, Dhaka","1,500 sqft",3,3,55 Thousand
1386,"Block A, Mohanagar Housing, West Rampura, Rampura, Dhaka","1,700 sqft",3,3,35 Thousand
1387,"Block A, Bashundhara R-A, Dhaka","2,400 sqft",3,4,90 Thousand
1388,"Block F, Bashundhara R-A, Dhaka","1,650 sqft",3,3,30 Thousand
1389,"Senpara Parbata, Section 10, Mirpur, Dhaka","1,140 sqft",3,2,33 Thousand
1390,"Sector 7, Uttara, Dhaka","2,000 sqft",3,3,40 Thousand
1391,"Block B, Section 11, Mirpur, Dhaka",650 sqft,2,2,11 Thousand
1392,"Block B, Section 11, Mirpur, Dhaka",650 sqft,2,2,11 Thousand
1393,"Gulshan 1, Gulshan, Dhaka","2,400 sqft",3,3,70 Thousand
1394,"Sector 1, Uttara, Dhaka","1,235 sqft",3,3,35 Thousand
1395,"Block I, Bashundhara R-A, Dhaka","1,880 sqft",3,4,35 Thousand
1396,"Rajabazar, Tejgaon, Dhaka","2,500 sqft",3,4,70 Thousand
1397,"Sector 1, Uttara, Dhaka","1,235 sqft",3,3,35 Thousand
1398,"Sector 4, Uttara, Dhaka","1,300 sqft",3,3,30 Thousand
1399,"Gulshan 2, Gulshan, Dhaka","3,500 sqft",4,4,2.8 Lakh
1400,"Sector 10, Uttara, Dhaka","1,400 sqft",3,3,27 Thousand
1401,"Sector 1, Uttara, Dhaka","1,235 sqft",3,3,35 Thousand
1402,"Sector 1, Uttara, Dhaka","1,235 sqft",3,3,35 Thousand
1403,"Block D, Bashundhara R-A, Dhaka","1,350 sqft",3,3,20 Thousand
1404,"Tikatuli, Sutrapur, Dhaka",500 sqft,2,1,16 Thousand
1405,"Sector 12, Uttara, Dhaka","1,700 sqft",3,4,30 Thousand
1406,"Block L, Eastern Housing, Pallabi, Mirpur, Dhaka",300 sqft,1,1,5.5 Thousand
1407,"Sector 14, Uttara, Dhaka","1,650 sqft",3,3,48 Thousand
1408,"East Azampur, Dakshin Khan, Dhaka",700 sqft,2,2,10.5 Thousand
1409,"Sector 6, Uttara, Dhaka","2,000 sqft",3,4,40 Thousand
1410,"Block D, Eastern Housing, Pallabi, Mirpur, Dhaka",800 sqft,2,2,10.5 Thousand
1411,"Sector 1, Uttara, Dhaka","1,235 sqft",3,3,35 Thousand
1412,"Sector 6, Uttara, Dhaka","1,450 sqft",3,4,26 Thousand
1413,"Cantonment, Dhaka","1,350 sqft",3,4,35 Thousand
1414,"Block A, Section 10, Mirpur, Dhaka","1,725 sqft",4,3,30 Thousand
1415,"Wari, Sutrapur, Dhaka","2,600 sqft",4,5,50 Thousand
1416,"Mohammadpur, Dhaka",700 sqft,2,2,16 Thousand
1417,"Block C, Bashundhara R-A, Dhaka","2,500 sqft",4,5,37 Thousand
1418,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka","1,200 sqft",2,2,27 Thousand
1419,"Block E, Banasree, Dhaka","1,500 sqft",3,3,25 Thousand
1420,"Sector 11, Uttara, Dhaka","1,800 sqft",3,3,50 Thousand
1421,"Sector 14, Uttara, Dhaka","1,900 sqft",3,3,45 Thousand
1422,"East Nakhalpara, Tejgaon, Dhaka",700 sqft,2,2,13.68 Thousand
1423,"Middle Paikpara, Mirpur, Dhaka","1,160 sqft",3,3,14.5 Thousand
1424,"Sector 11, Uttara, Dhaka","1,800 sqft",3,3,50 Thousand
1425,"Faydabad, Dakshin Khan, Dhaka",400 sqft,2,1,6.3 Thousand
1426,"Gulshan 1, Gulshan, Dhaka","3,200 sqft",4,3,1.1 Lakh
1427,"Block I, Bashundhara R-A, Dhaka","1,250 sqft",3,3,18 Thousand
1428,"Sector 10, Uttara, Dhaka","1,200 sqft",3,3,20 Thousand
1429,"Satarkul, Uttar Badda, Badda, Dhaka","1,000 sqft",3,3,16.18 Thousand
1430,"Sector 5, Uttara, Dhaka","1,200 sqft",3,3,30 Thousand
1431,"Section 1, Mirpur, Dhaka","1,400 sqft",3,3,20 Thousand
1432,"Badda, Dhaka",600 sqft,2,2,13.5 Thousand
1433,"Baridhara, Dhaka","3,850 sqft",3,3,3.5 Lakh
1434,"Mohammadi Housing LTD., Mohammadpur, Dhaka",650 sqft,1,1,8.5 Thousand
1435,"Mirpur, Dhaka","1,230 sqft",3,3,18 Thousand
1436,"Sector 9, Uttara, Dhaka","1,700 sqft",4,4,50 Thousand
1437,"Block E, South Banasree Project, Banasree, Dhaka",750 sqft,2,2,11 Thousand
1438,"Block E, South Banasree Project, Banasree, Dhaka",750 sqft,2,2,11 Thousand
1439,"Block E, South Banasree Project, Banasree, Dhaka",750 sqft,2,2,11 Thousand
1440,"Block E, South Banasree Project, Banasree, Dhaka",750 sqft,2,2,11 Thousand
1441,"Block L, Bashundhara R-A, Dhaka","2,500 sqft",4,4,45 Thousand
1442,"Block L, Bashundhara R-A, Dhaka","2,500 sqft",4,4,45 Thousand
1443,"Gandaria, Sutrapur, Dhaka",500 sqft,2,1,10 Thousand
1444,"Gulshan 2, Gulshan, Dhaka","4,400 sqft",4,4,3 Lakh
1445,"Maghbazar, Dhaka","1,790 sqft",3,4,42 Thousand
1446,"Block A, Bashundhara R-A, Dhaka","1,350 sqft",3,3,22 Thousand
1447,"Sector 4, Uttara, Dhaka","1,300 sqft",3,4,25 Thousand
1448,"Sector 11, Uttara, Dhaka","1,800 sqft",3,3,50 Thousand
1449,"Block B, Bashundhara R-A, Dhaka","1,250 sqft",3,3,25 Thousand
1450,"PC Culture Housing, Mohammadpur, Dhaka",900 sqft,2,2,15 Thousand
1451,"Block D, Bashundhara R-A, Dhaka","2,000 sqft",3,4,35 Thousand
1452,"Sector 13, Uttara, Dhaka","2,350 sqft",3,4,35 Thousand
1453,"Block H, Bashundhara R-A, Dhaka","1,500 sqft",3,3,45 Thousand
1454,"Block G, Bashundhara R-A, Dhaka",900 sqft,3,2,36 Thousand
1455,"Block I, Bashundhara R-A, Dhaka","1,880 sqft",3,4,33 Thousand
1456,"Sector 14, Uttara, Dhaka","2,000 sqft",4,3,35 Thousand
1457,"Sector 13, Uttara, Dhaka","1,900 sqft",3,3,30 Thousand
1458,"Sector 11, Uttara, Dhaka","1,000 sqft",3,2,22 Thousand
1459,"Sector 1, Uttara, Dhaka","2,750 sqft",5,5,75 Thousand
1460,"Block L, Bashundhara R-A, Dhaka","2,500 sqft",4,4,45 Thousand
1461,"Block L, Bashundhara R-A, Dhaka","2,500 sqft",4,5,45 Thousand
1462,"Kazirgaon, Jatra Bari, Dhaka",900 sqft,2,2,11 Thousand
1463,"Block A, Bashundhara R-A, Dhaka","3,600 sqft",4,5,1.1 Lakh
1464,"Rajarbagh, Motijheel, Dhaka","1,550 sqft",3,3,35 Thousand
1465,"Shahjadpur, Badda, Dhaka",650 sqft,2,1,16 Thousand
1466,"Shahjadpur, Badda, Dhaka",650 sqft,2,1,17 Thousand
1467,"Block D, Bashundhara R-A, Dhaka","1,223 sqft",3,3,21 Thousand
1468,"Section 1, Mirpur, Dhaka","1,150 sqft",3,2,16 Thousand
1469,"Bashundhara R-A, Dhaka","2,645 sqft",4,5,46 Thousand
1470,"Section 10, Mirpur, Dhaka","1,250 sqft",3,3,22 Thousand
1471,"Block E, Bashundhara R-A, Dhaka","1,550 sqft",4,3,25 Thousand
1472,"Block F, Bashundhara R-A, Dhaka","1,750 sqft",3,3,35 Thousand
1473,"Sector 6, Uttara, Dhaka","1,050 sqft",3,3,35 Thousand
1474,"Block G, Bashundhara R-A, Dhaka","2,000 sqft",3,4,30 Thousand
1475,"Block L, Bashundhara R-A, Dhaka","2,500 sqft",4,4,45 Thousand
1476,"Majed Sardar Road, Bangshal, Dhaka",500 sqft,2,1,11 Thousand
1477,"Block A, Bashundhara R-A, Dhaka","1,350 sqft",3,3,23 Thousand
1478,"Block A, Bashundhara R-A, Dhaka","1,900 sqft",3,4,40 Thousand
1479,"Sector 12, Uttara, Dhaka","1,550 sqft",3,4,52 Thousand
1480,"Avenue 12, Mirpur DOHS, Mirpur, Dhaka","2,200 sqft",4,4,30 Thousand
1481,"Sector 1, Uttara, Dhaka","1,235 sqft",3,3,35 Thousand
1482,"Block B, Bashundhara R-A, Dhaka","2,100 sqft",3,3,40 Thousand
1483,"Banani, Dhaka","1,790 sqft",3,4,60 Thousand
1484,"Kazirgaon, Jatra Bari, Dhaka","1,160 sqft",3,3,14 Thousand
1485,"Jatra Bari, Dhaka",750 sqft,2,2,10.5 Thousand
1486,"Jatra Bari, Dhaka",750 sqft,2,2,12 Thousand
1487,"Block F, Bashundhara R-A, Dhaka","1,285 sqft",3,3,31.5 Thousand
1488,"Block L, Bashundhara R-A, Dhaka","2,500 sqft",4,4,45 Thousand
1489,"Banani, Dhaka","1,800 sqft",3,4,65 Thousand
1490,"Sector 3, Uttara, Dhaka","3,000 sqft",3,3,60 Thousand
1491,"Block L, Bashundhara R-A, Dhaka","2,500 sqft",4,4,45 Thousand
1492,"Block L, Bashundhara R-A, Dhaka","2,500 sqft",4,5,45 Thousand
1493,"Block L, Bashundhara R-A, Dhaka","2,800 sqft",3,5,1 Lakh
1494,"West Nakhalpara, Tejgaon, Dhaka",700 sqft,2,1,20 Thousand
1495,"Block F, Bashundhara R-A, Dhaka","1,800 sqft",3,3,27 Thousand
1496,"Shantibag, Malibagh, Dhaka","1,200 sqft",3,3,30 Thousand
1497,"Wari, Sutrapur, Dhaka",900 sqft,2,2,17 Thousand
1498,"Sector 11, Uttara, Dhaka","1,580 sqft",3,3,36 Thousand
1499,"Sector 1, Uttara, Dhaka","1,235 sqft",3,3,35 Thousand
1500,"Block A, Bashundhara R-A, Dhaka","1,911 sqft",3,4,35 Thousand
1501,"Block A, Bashundhara R-A, Dhaka","1,911 sqft",3,3,35 Thousand
1502,"Block A, Bashundhara R-A, Dhaka","1,859 sqft",3,3,35 Thousand
1503,"Block A, Bashundhara R-A, Dhaka","1,859 sqft",3,3,35 Thousand
1504,"Block A, Bashundhara R-A, Dhaka","1,911 sqft",3,3,35 Thousand
1505,"Block A, Bashundhara R-A, Dhaka","1,911 sqft",3,4,35 Thousand
1506,"Block A, Bashundhara R-A, Dhaka","1,911 sqft",3,3,35 Thousand
1507,"Block A, Bashundhara R-A, Dhaka","1,594 sqft",2,2,29 Thousand
1508,"Narinda, Sutrapur, Dhaka",600 sqft,2,1,13 Thousand
1509,"Mohammadpur, Dhaka","2,400 sqft",3,4,45 Thousand
1510,"Shantibag, Malibagh, Dhaka","1,075 sqft",3,3,25 Thousand
1511,"Ring Road, Mohammadpur, Dhaka",670 sqft,2,2,15.5 Thousand
1512,"Banani, Dhaka","2,200 sqft",3,4,60 Thousand
1513,"Block F, Bashundhara R-A, Dhaka","1,500 sqft",3,3,25 Thousand
1514,"Block L, Bashundhara R-A, Dhaka","2,500 sqft",4,4,45 Thousand
1515,"Block F, Bashundhara R-A, Dhaka","1,600 sqft",3,3,50 Thousand
1516,"Gulbag, Malibagh, Dhaka",950 sqft,2,2,14 Thousand
1517,"Block A, Bashundhara R-A, Dhaka","2,575 sqft",4,5,1 Lakh
1518,"Kawlar Moddho Para, Kawlar, Dakshin Khan, Dhaka",700 sqft,2,2,8.5 Thousand
1519,"Gulshan 2, Gulshan, Dhaka","2,900 sqft",4,4,1 Lakh
1520,"South Banasree Project, Banasree, Dhaka","2,200 sqft",4,3,32 Thousand
1521,"Manikdi, Cantonment, Dhaka",850 sqft,2,2,11.5 Thousand
1522,"Block F, Bashundhara R-A, Dhaka","1,500 sqft",3,3,25 Thousand
1523,"Block G, Bashundhara R-A, Dhaka",900 sqft,3,2,18 Thousand
1524,"Block B, Bashundhara R-A, Dhaka","2,300 sqft",3,4,40 Thousand
1525,"Sector 5, Uttara, Dhaka",950 sqft,2,2,45 Thousand
1526,"Senpara Parbata, Section 10, Mirpur, Dhaka","1,140 sqft",3,2,25 Thousand
1527,"Block J, Baridhara, Dhaka","3,000 sqft",4,4,1.2 Lakh
1528,"Block C, Bashundhara R-A, Dhaka","1,000 sqft",1,2,25 Thousand
1529,"Matikata, Cantonment, Dhaka",950 sqft,3,2,15 Thousand
1530,"Block J, Bashundhara R-A, Dhaka","2,400 sqft",4,5,40 Thousand
1531,"Block B, Bashundhara R-A, Dhaka","1,450 sqft",2,3,24 Thousand
1532,"Block C, Bashundhara R-A, Dhaka","2,398 sqft",4,4,40 Thousand
1533,"Block C, Bashundhara R-A, Dhaka","2,520 sqft",4,5,40 Thousand
1534,"Block C, Bashundhara R-A, Dhaka","1,500 sqft",3,3,26 Thousand
1535,"Dhanmondi, Dhaka","1,450 sqft",3,3,32 Thousand
1536,"Joar Sahara, Dhaka",950 sqft,2,2,18 Thousand
1537,"Sector 1, Uttara, Dhaka","1,235 sqft",3,3,35 Thousand
1538,"Block D, Bashundhara R-A, Dhaka","2,150 sqft",4,5,45 Thousand
1539,"Block D, Niketan, Dhaka","2,200 sqft",3,3,45 Thousand
1540,"Block F, Bashundhara R-A, Dhaka","1,565 sqft",3,3,30 Thousand
1541,"Sector 12, Uttara, Dhaka","1,200 sqft",3,4,21 Thousand
1542,"Section 10, Mirpur, Dhaka","1,200 sqft",3,3,17 Thousand
1543,"Block A, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",600 sqft,2,1,14 Thousand
1544,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",750 sqft,2,2,15 Thousand
1545,"Sector 10, Uttara, Dhaka","1,870 sqft",3,4,40 Thousand
1546,"Sector 12, Uttara, Dhaka",800 sqft,2,2,14.5 Thousand
1547,"Block C, Bashundhara R-A, Dhaka","3,000 sqft",4,5,75 Thousand
1548,"Sector 13, Uttara, Dhaka","1,400 sqft",3,3,25 Thousand
1549,"Sector 5, Uttara, Dhaka","2,000 sqft",2,2,75 Thousand
1550,"Shantibag, Malibagh, Dhaka",800 sqft,2,2,18 Thousand
1551,"Block B, Aftab Nagar, Dhaka","1,200 sqft",3,3,18 Thousand
1552,"Senpara Parbata, Section 10, Mirpur, Dhaka","1,405 sqft",3,3,25 Thousand
1553,"Block J, Baridhara, Dhaka","1,400 sqft",3,2,27 Thousand
1554,"Sector 4, Uttara, Dhaka","2,450 sqft",3,4,70 Thousand
1555,"Sector 10, Uttara, Dhaka","1,300 sqft",3,3,20 Thousand
1556,"Block I, Bashundhara R-A, Dhaka","1,250 sqft",3,3,25 Thousand
1557,"Block J, Bashundhara R-A, Dhaka","2,400 sqft",4,5,32 Thousand
1558,"Gulshan 2, Gulshan, Dhaka","3,715 sqft",4,4,2 Lakh
1559,"Block B, Bashundhara R-A, Dhaka","2,450 sqft",3,4,37 Thousand
1560,"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",900 sqft,2,3,16 Thousand
1561,"Pirerbag, Mirpur, Dhaka","1,050 sqft",3,2,14 Thousand
1562,"Pirerbag, Mirpur, Dhaka","1,050 sqft",3,2,14 Thousand
1563,"Pirerbag, Mirpur, Dhaka","1,050 sqft",3,2,14 Thousand
1564,"Pirerbag, Mirpur, Dhaka","1,050 sqft",3,2,14 Thousand
1565,"Pirerbag, Mirpur, Dhaka","1,050 sqft",3,2,14 Thousand
1566,"West Nurer Chala, Nurer Chala, Badda, Dhaka","1,600 sqft",3,3,25 Thousand
1567,"Sultanganj, Rayer Bazaar, Hazaribag, Dhaka","1,000 sqft",3,3,17 Thousand
1568,"Nurer Chala, Badda, Dhaka","1,400 sqft",3,4,18 Thousand
1569,"Sector 3, Uttara, Dhaka","1,800 sqft",3,3,45 Thousand
1570,"Manikdi, Cantonment, Dhaka",700 sqft,2,2,10.5 Thousand
1571,"PC Culture Housing, Mohammadpur, Dhaka",900 sqft,3,2,21 Thousand
1572,"Sector 10, Uttara, Dhaka","1,500 sqft",3,4,22 Thousand
1573,"Paribagh, Dhaka","1,150 sqft",3,2,27 Thousand
1574,"Sector 13, Uttara, Dhaka",900 sqft,2,2,17 Thousand
1575,"Block B, Bashundhara R-A, Dhaka","2,400 sqft",3,4,38 Thousand
1576,"Sector 10, Uttara, Dhaka","1,600 sqft",3,3,22 Thousand
1577,"Sector 14, Uttara, Dhaka",400 sqft,1,1,12 Thousand
1578,"Sector 12, Uttara, Dhaka","1,550 sqft",3,3,30 Thousand
1579,"Block G, Bashundhara R-A, Dhaka",800 sqft,2,2,32 Thousand
1580,"Banani, Dhaka","2,200 sqft",3,4,1.1 Lakh
1581,"Sector 13, Uttara, Dhaka","1,500 sqft",3,4,30 Thousand
1582,"Block G, Bashundhara R-A, Dhaka",800 sqft,2,2,32 Thousand
1583,"Jamtola, East Rampura, Rampura, Dhaka","1,050 sqft",3,2,15.5 Thousand
1584,"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",900 sqft,2,3,16 Thousand
1585,"Block F, Bashundhara R-A, Dhaka","1,500 sqft",3,3,25 Thousand
1586,"Block A, Bashundhara R-A, Dhaka","1,325 sqft",3,4,21 Thousand
1587,"Sector 10, Uttara, Dhaka","1,900 sqft",3,3,35 Thousand
1588,"Block F, Bashundhara R-A, Dhaka","2,000 sqft",3,4,32 Thousand
1589,"Block B, Bashundhara R-A, Dhaka","2,450 sqft",4,4,35 Thousand
1590,"Block G, Bashundhara R-A, Dhaka","1,600 sqft",3,3,37.5 Thousand
1591,"Sector 13, Uttara, Dhaka","1,250 sqft",3,3,30 Thousand
1592,"Sector 11, Uttara, Dhaka","2,400 sqft",3,3,40 Thousand
1593,"Hatirpool, Dhaka","1,200 sqft",3,3,74 Thousand
1594,"Block E, Banasree, Dhaka","1,700 sqft",4,4,28 Thousand
1595,"Middle Badda, Badda, Dhaka",720 sqft,2,2,14 Thousand
1596,"PC Culture Housing, Mohammadpur, Dhaka",720 sqft,2,2,15 Thousand
1597,"Sector 12, Uttara, Dhaka","1,800 sqft",3,4,70 Thousand
1598,"Mohammadpur, Dhaka",750 sqft,2,2,15 Thousand
1599,"Sector 3, Uttara, Dhaka","1,850 sqft",3,3,45 Thousand
1600,"Block A, Section 12, Mirpur, Dhaka",400 sqft,1,1,12.5 Thousand
1601,"Block H, Bashundhara R-A, Dhaka","1,550 sqft",3,3,25 Thousand
1602,"Middle Badda, Badda, Dhaka","1,430 sqft",3,4,23 Thousand
1603,"Sector 4, Uttara, Dhaka","1,800 sqft",3,4,30 Thousand
1604,"Baridhara, Dhaka","2,100 sqft",3,3,60 Thousand
1605,"Block D, Bashundhara R-A, Dhaka","1,950 sqft",3,4,32 Thousand
1606,"Shiddheswari, Dhaka","2,750 sqft",4,4,70 Thousand
1607,"Senpara Parbata, Section 10, Mirpur, Dhaka",950 sqft,3,2,15 Thousand
1608,"Kafrul, Dhaka",700 sqft,2,2,18 Thousand
1609,"Sector 5, Uttara, Dhaka",950 sqft,2,2,16 Thousand
1610,"Block B, Dolipara, Uttara, Dhaka",700 sqft,2,1,10 Thousand
1611,"Baridhara, Dhaka","4,138 sqft",4,5,1.9 Lakh
1612,"Baridhara, Dhaka","2,300 sqft",3,3,75 Thousand
1613,"West Shewrapara, Mirpur, Dhaka","1,200 sqft",3,3,22 Thousand
1614,"Shantinagar, Dhaka","1,700 sqft",3,3,27 Thousand
1615,"Sector 10, Uttara, Dhaka","1,900 sqft",3,4,40 Thousand
1616,"Block D, Bashundhara R-A, Dhaka","1,435 sqft",3,3,20 Thousand
1617,"Block C, Bashundhara R-A, Dhaka","2,280 sqft",3,4,30 Thousand
1618,"Shyamoli, Dhaka",800 sqft,2,2,20 Thousand
1619,"Block G, Bashundhara R-A, Dhaka","2,210 sqft",4,4,36 Thousand
1620,"Sector 7, Uttara, Dhaka","1,500 sqft",3,3,35 Thousand
1621,"Sector 3, Uttara, Dhaka","2,250 sqft",3,4,40 Thousand
1622,"Block D, Bashundhara R-A, Dhaka","2,300 sqft",4,4,50 Thousand
1623,"Gulshan 2, Gulshan, Dhaka","2,000 sqft",3,3,65 Thousand
1624,"Kathalbagan, Dhaka","1,100 sqft",3,2,23 Thousand
1625,"Dhanmondi, Dhaka","2,200 sqft",3,4,70 Thousand
1626,"Sector 13, Uttara, Dhaka","1,840 sqft",3,4,45 Thousand
1627,"Dhanmondi, Dhaka","1,975 sqft",3,3,1 Lakh
1628,"Block B, Section 12, Mirpur, Dhaka","1,298 sqft",3,3,30 Thousand
1629,"Baridhara, Dhaka","4,138 sqft",4,5,1.9 Lakh
1630,"Block G, Bashundhara R-A, Dhaka","1,450 sqft",3,3,27 Thousand
1631,"New Eskaton, Eskaton, Dhaka","1,300 sqft",3,4,28 Thousand
1632,"Block C, Bashundhara R-A, Dhaka","1,625 sqft",3,4,35 Thousand
1633,"Block D, Mohanagar Housing, West Rampura, Rampura, Dhaka","1,800 sqft",2,3,80 Thousand
1634,"Block D, Bashundhara R-A, Dhaka","1,350 sqft",2,2,25 Thousand
1635,"Gulshan 1, Gulshan, Dhaka","4,000 sqft",4,4,1.4 Lakh
1636,"Block B, Banasree, Dhaka",700 sqft,1,1,15.5 Thousand
1637,"Mohammadpur, Dhaka",750 sqft,2,2,24 Thousand
1638,"Sector 4, Uttara, Dhaka","1,400 sqft",3,3,26 Thousand
1639,"Block F, Bashundhara R-A, Dhaka","1,550 sqft",3,3,26 Thousand
1640,"Block E, Bashundhara R-A, Dhaka","1,400 sqft",3,3,25 Thousand
1641,"Block A, Bashundhara R-A, Dhaka","1,860 sqft",3,4,40 Thousand
1642,"Baridhara, Dhaka","2,200 sqft",3,3,75 Thousand
1643,"Sector 4, Uttara, Dhaka","2,200 sqft",3,4,42 Thousand
1644,"Banani, Dhaka","2,260 sqft",3,4,60 Thousand
1645,"Block F, Bashundhara R-A, Dhaka","1,365 sqft",3,3,25 Thousand
1646,"Banani, Dhaka","2,223 sqft",3,4,80 Thousand
1647,"Baridhara, Dhaka","2,300 sqft",3,3,75 Thousand
1648,"Baridhara, Dhaka","2,300 sqft",3,3,75 Thousand
1649,"Mohakhali DOHS, Dhaka","2,700 sqft",4,4,1.2 Lakh
1650,"Sector 7, Uttara, Dhaka","1,700 sqft",3,2,30 Thousand
1651,"Block D, Section 12, Mirpur, Dhaka",650 sqft,2,2,10 Thousand
1652,"Block D, Banasree, Dhaka",800 sqft,2,2,15 Thousand
1653,"Dhanmondi, Dhaka","1,500 sqft",3,4,33 Thousand
1654,"Block A, Bashundhara R-A, Dhaka","2,100 sqft",3,3,45 Thousand
1655,"Ibrahimpur, Dhaka",650 sqft,2,1,10 Thousand
1656,"Sector 10, Uttara, Dhaka","1,900 sqft",3,4,50 Thousand
1657,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",720 sqft,2,2,11 Thousand
1658,"Block C, Bashundhara R-A, Dhaka","2,500 sqft",4,4,55 Thousand
1659,"Sector 13, Uttara, Dhaka","2,600 sqft",3,4,1 Lakh
1660,"Block D, Bashundhara R-A, Dhaka","2,250 sqft",3,3,40 Thousand
1661,"Monipuripara, Tejgaon, Dhaka","1,650 sqft",3,3,30 Thousand
1662,"Katashur, Mohammadpur, Dhaka",720 sqft,2,2,13 Thousand
1663,"Sector 14, Uttara, Dhaka",900 sqft,2,2,17 Thousand
1664,"Block B, Bashundhara R-A, Dhaka","2,000 sqft",4,4,40 Thousand
1665,"Gulshan 2, Gulshan, Dhaka","1,800 sqft",3,3,55 Thousand
1666,"Madhya Ajampur, Dakshin Khan, Dhaka","1,200 sqft",3,2,18 Thousand
1667,"Block B, Bashundhara R-A, Dhaka","2,300 sqft",3,4,46 Thousand
1668,"Block C, Bashundhara R-A, Dhaka","1,750 sqft",3,4,32 Thousand
1669,"Gulshan 2, Gulshan, Dhaka","1,800 sqft",3,3,70 Thousand
1670,"Gulshan 2, Gulshan, Dhaka","2,000 sqft",3,3,60 Thousand
1671,"Priyanka City, Sector 12, Uttara, Dhaka","1,700 sqft",3,4,27 Thousand
1672,"Priyanka City, Sector 12, Uttara, Dhaka","1,700 sqft",3,3,25 Thousand
1673,"Nikunja 1, Nikunja, Dhaka","1,600 sqft",3,3,1 Lakh
1674,"Sector 9, Uttara, Dhaka","1,800 sqft",3,3,35 Thousand
1675,"Sector 9, Uttara, Dhaka","1,800 sqft",3,3,35 Thousand
1676,"Block F, Bashundhara R-A, Dhaka","1,420 sqft",3,3,28 Thousand
1677,"Gandaria, Sutrapur, Dhaka",800 sqft,2,2,12 Thousand
1678,"Banani, Dhaka","2,800 sqft",4,4,80 Thousand
1679,"Gulshan 2, Gulshan, Dhaka","1,800 sqft",3,3,70 Thousand
1680,"Block B, Section 12, Mirpur, Dhaka","1,200 sqft",3,3,28 Thousand
1681,"Block B, Section 12, Mirpur, Dhaka","1,200 sqft",3,3,28 Thousand
1682,"Block B, Section 12, Mirpur, Dhaka","1,200 sqft",3,3,28 Thousand
1683,"Block A, Chandrima Model Town, Mohammadpur, Dhaka","1,400 sqft",3,3,14 Thousand
1684,"Block B, Bashundhara R-A, Dhaka","2,600 sqft",4,5,50 Thousand
1685,"Nikunja 1, Nikunja, Dhaka","1,000 sqft",1,1,70 Thousand
1686,"Block C, Bashundhara R-A, Dhaka","2,500 sqft",4,5,45 Thousand
1687,"Baridhara, Dhaka","2,300 sqft",3,3,75 Thousand
1688,"Block K, Baridhara, Dhaka","3,000 sqft",4,4,1.6 Lakh
1689,"Banani, Dhaka","2,084 sqft",3,4,75 Thousand
1690,"Sector 1, Block D, Aftab Nagar, Dhaka","1,000 sqft",3,2,13 Thousand
1691,"Block A, Nobodoy Housing Society, Mohammadpur, Dhaka","1,100 sqft",3,3,18 Thousand
1692,"Block F, Bashundhara R-A, Dhaka","1,460 sqft",3,3,30 Thousand
1693,"Shiddheswari, Dhaka",900 sqft,2,2,26 Thousand
1694,"Sector 9, Uttara, Dhaka","2,000 sqft",3,4,35 Thousand
