,Location,Area,Bed,Bath,Price
834,"Block G, Bashundhara R-A, Dhaka","1,390 sqft",3,3,25 Thousand
835,"Baitul Aman Housing Society, Adabor, Dhaka","1,180 sqft",3,3,18 Thousand
836,"Block C, Bashundhara R-A, Dhaka","2,400 sqft",3,4,45 Thousand
837,"Block C, Bashundhara R-A, Dhaka","2,020 sqft",4,4,40 Thousand
838,"Block J, Bashundhara R-A, Dhaka","2,072 sqft",3,4,25 Thousand
839,"Block C, Bashundhara R-A, Dhaka","1,675 sqft",3,3,30 Thousand
840,"Block D, Bashundhara R-A, Dhaka","1,400 sqft",2,3,26 Thousand
841,"Block C, Bashundhara R-A, Dhaka","1,675 sqft",3,3,25 Thousand
842,"Block C, Bashundhara R-A, Dhaka","1,675 sqft",3,3,27 Thousand
843,"Block D, Bashundhara R-A, Dhaka","2,440 sqft",3,4,45 Thousand
844,"Block I, Bashundhara R-A, Dhaka","1,493 sqft",3,4,25 Thousand
845,"Mohammadpur, Dhaka",700 sqft,2,2,15 Thousand
846,"Sector 7, Uttara, Dhaka","1,000 sqft",2,2,20 Thousand
847,"Sector 14, Uttara, Dhaka",900 sqft,2,2,22 Thousand
848,"Block A, Bashundhara R-A, Dhaka","1,450 sqft",3,3,30 Thousand
849,"Block D, Bashundhara R-A, Dhaka","1,450 sqft",3,3,27 Thousand
850,"Block A, Bashundhara R-A, Dhaka","1,665 sqft",3,4,30 Thousand
851,"Sector 12, Uttara, Dhaka","2,595 sqft",3,3,60 Thousand
852,"Kadamtala, Bashabo, Dhaka",600 sqft,2,1,10.5 Thousand
853,"Mohammadi Housing LTD., Mohammadpur, Dhaka",750 sqft,2,2,15.02 Thousand
854,"Sector 12, Uttara, Dhaka","1,500 sqft",3,3,20 Thousand
855,"Sector 1, Uttara, Dhaka","2,750 sqft",5,6,75 Thousand
856,"Manikdi, Cantonment, Dhaka","1,254 sqft",3,3,15 Thousand
857,"Sector 12, Uttara, Dhaka","1,600 sqft",3,4,30 Thousand
858,"Kadamtala, Bashabo, Dhaka","1,210 sqft",3,3,18.54 Thousand
859,"Gulshan 2, Gulshan, Dhaka","3,187 sqft",3,3,80 Thousand
860,"Azimpur, Lalbagh, Dhaka",950 sqft,3,2,15 Thousand
861,"Sector 4, Uttara, Dhaka","1,500 sqft",3,3,34 Thousand
862,"Block F, Bashundhara R-A, Dhaka","1,950 sqft",3,4,27 Thousand
863,"Mirpur DOHS, Mirpur, Dhaka","2,250 sqft",3,3,30 Thousand
864,"Mirpur DOHS, Mirpur, Dhaka","2,250 sqft",3,3,30 Thousand
865,"Gulshan 2, Gulshan, Dhaka","2,500 sqft",3,3,1 Lakh
866,"Sector 6, Uttara, Dhaka","2,100 sqft",3,4,60 Thousand
867,"Block H, Bashundhara R-A, Dhaka","1,450 sqft",3,3,25 Thousand
868,"Mirpur, Dhaka","1,100 sqft",3,2,14 Thousand
869,"Rasulpur, Donia, Jatra Bari, Dhaka",600 sqft,2,1,6 Thousand
870,"Sector 10, Uttara, Dhaka","1,300 sqft",3,3,23 Thousand
871,"Block C, Aftab Nagar, Dhaka","1,100 sqft",3,3,16 Thousand
872,"Block E, Section 12, Mirpur, Dhaka",650 sqft,2,2,15 Thousand
873,"Kadamtala, Bashabo, Dhaka","1,185 sqft",3,2,17.5 Thousand
874,"Middle Pirerbag, Pirerbag, Mirpur, Dhaka","1,050 sqft",3,2,15 Thousand
875,"Gulshan 2, Gulshan, Dhaka","2,685 sqft",4,4,1.2 Lakh
876,"East Merul Badda, Merul Badda, Badda, Dhaka","1,340 sqft",3,2,17 Thousand
877,"Block A, Section 11, Mirpur, Dhaka","1,250 sqft",3,3,25 Thousand
878,"Sector 9, Uttara, Dhaka","1,050 sqft",3,2,25 Thousand
879,"Sector 13, Uttara, Dhaka",700 sqft,2,1,15 Thousand
880,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",720 sqft,2,2,14 Thousand
881,"Sector 11, Uttara, Dhaka",850 sqft,2,2,17.5 Thousand
882,"Mohakhali, Dhaka",550 sqft,2,1,15 Thousand
883,"Block A, Bashundhara R-A, Dhaka","1,888 sqft",3,4,50 Thousand
884,"Block E, Section 12, Mirpur, Dhaka",650 sqft,2,2,14 Thousand
885,"Sector 4, Uttara, Dhaka","1,500 sqft",3,3,30 Thousand
886,"Sector 12, Uttara, Dhaka","1,600 sqft",3,4,30 Thousand
887,"Majed Sardar Road, Bangshal, Dhaka",550 sqft,2,1,12 Thousand
888,"Sector 6, Uttara, Dhaka","2,100 sqft",3,4,60 Thousand
889,"Block H, Bashundhara R-A, Dhaka","1,450 sqft",3,3,25 Thousand
890,"Banani, Dhaka","2,450 sqft",3,4,1 Lakh
891,"Block G, Bashundhara R-A, Dhaka",850 sqft,2,2,17 Thousand
892,"Block J, Bashundhara R-A, Dhaka","2,275 sqft",3,4,40 Thousand
893,"Block H, Bashundhara R-A, Dhaka","1,450 sqft",3,3,25 Thousand
894,"Block H, Bashundhara R-A, Dhaka","1,450 sqft",3,3,25 Thousand
895,"Block H, Bashundhara R-A, Dhaka","1,450 sqft",3,3,25 Thousand
896,"Block A, Aftab Nagar, Dhaka",800 sqft,2,2,22 Thousand
897,"Monipuripara, Tejgaon, Dhaka","1,250 sqft",3,3,28 Thousand
898,"Dhanmondi, Dhaka","2,700 sqft",3,4,70 Thousand
899,"Sector 14, Uttara, Dhaka",600 sqft,2,2,18.1 Thousand
900,"Sector 5, Uttara, Dhaka",900 sqft,2,2,20 Thousand
901,"Block A, Niketan, Dhaka","1,500 sqft",3,4,40 Thousand
902,"Section 2, Mirpur, Dhaka",800 sqft,2,2,15 Thousand
903,"Sector 13, Uttara, Dhaka","1,000 sqft",2,2,16 Thousand
904,"Gulshan 1, Gulshan, Dhaka","2,200 sqft",3,3,1 Lakh
905,"Nikunja 2, Nikunja, Dhaka",950 sqft,3,3,30 Thousand
906,"East Azampur, Dakshin Khan, Dhaka",650 sqft,2,2,10 Thousand
907,"Sector 12, Uttara, Dhaka","1,850 sqft",3,3,30 Thousand
908,"Block A, Aftab Nagar, Dhaka",800 sqft,2,3,22 Thousand
909,"Block D, Bashundhara R-A, Dhaka","1,200 sqft",3,3,24 Thousand
910,"Sector 4, Uttara, Dhaka","3,144 sqft",4,5,80 Thousand
911,"Block J, Bashundhara R-A, Dhaka","2,400 sqft",4,4,40 Thousand
912,"Block A, Section 10, Mirpur, Dhaka","1,450 sqft",3,3,25 Thousand
913,"Sector 4, Uttara, Dhaka","1,950 sqft",3,4,35 Thousand
914,"Sector 3, Uttara, Dhaka","1,500 sqft",3,4,30 Thousand
915,"East Rampura, Rampura, Dhaka","1,485 sqft",3,3,24 Thousand
916,"West Pirerbag, Pirerbag, Mirpur, Dhaka","1,072 sqft",3,2,15 Thousand
917,"Middle Monipur, Mirpur, Dhaka",600 sqft,2,1,9.5 Thousand
918,"Sector 11, Uttara, Dhaka","2,500 sqft",4,5,40 Thousand
919,"Block C, Bashundhara R-A, Dhaka","1,900 sqft",3,3,37 Thousand
920,"Sector 4, Uttara, Dhaka","2,000 sqft",3,4,55 Thousand
921,"Block F, Bashundhara R-A, Dhaka","1,700 sqft",3,4,54 Thousand
922,"Baitul Aman Housing Society, Adabor, Dhaka","1,350 sqft",3,3,16 Thousand
923,"Baitul Aman Housing Society, Adabor, Dhaka","1,696 sqft",3,3,26 Thousand
924,"Mohammadia Housing Society, Mohammadpur, Dhaka",700 sqft,2,2,12 Thousand
925,"Block G, Bashundhara R-A, Dhaka","1,800 sqft",3,4,25 Thousand
926,"Mohammadia Housing Society, Mohammadpur, Dhaka",750 sqft,2,2,15 Thousand
927,"Block G, Bashundhara R-A, Dhaka","1,400 sqft",3,3,23.5 Thousand
928,"Sector 9, Uttara, Dhaka","1,600 sqft",3,4,30 Thousand
929,"Chowdhuripara, Khilgaon, Dhaka",750 sqft,2,2,16 Thousand
930,"Shantinagar, Dhaka",700 sqft,2,2,18 Thousand
931,"Sector 5, Uttara, Dhaka","1,250 sqft",3,2,22.5 Thousand
932,"Banani, Dhaka","1,850 sqft",3,3,55 Thousand
933,"Sector 9, Uttara, Dhaka",900 sqft,2,2,25 Thousand
934,"Block A, Bashundhara R-A, Dhaka","2,000 sqft",3,4,30 Thousand
935,"Sector 11, Uttara, Dhaka","2,400 sqft",4,4,45 Thousand
936,"Block A, Bashundhara R-A, Dhaka","2,800 sqft",4,4,50 Thousand
937,"Block D, Bashundhara R-A, Dhaka","2,450 sqft",3,4,60 Thousand
938,"North Shahjahanpur, Dhaka","1,323 sqft",3,3,25 Thousand
939,"Dhanmondi, Dhaka","1,850 sqft",3,3,40 Thousand
940,"Sector 13, Uttara, Dhaka",900 sqft,2,2,16 Thousand
941,"Block G, Bashundhara R-A, Dhaka","1,500 sqft",3,3,26 Thousand
942,"Sector 12, Uttara, Dhaka",900 sqft,2,2,18 Thousand
943,"Block D, Bashundhara R-A, Dhaka","2,200 sqft",3,4,38 Thousand
944,"Avenue 2, Mirpur DOHS, Mirpur, Dhaka","2,200 sqft",4,4,40 Thousand
945,"Banani, Dhaka","2,130 sqft",3,3,60 Thousand
946,"Gulshan 2, Gulshan, Dhaka","2,400 sqft",3,3,1.2 Lakh
947,"Sector 14, Uttara, Dhaka",900 sqft,2,2,19 Thousand
948,"Banani, Dhaka","2,450 sqft",3,4,1 Lakh
949,"Sector 11, Uttara, Dhaka","1,050 sqft",3,2,25 Thousand
950,"Block F, Bashundhara R-A, Dhaka",250 sqft,1,1,11 Thousand
951,"Block C, Bashundhara R-A, Dhaka","1,580 sqft",3,3,22 Thousand
952,"Mohammadi Housing LTD., Mohammadpur, Dhaka","1,200 sqft",2,2,14 Thousand
953,"Gulshan 2, Gulshan, Dhaka","2,800 sqft",4,4,1 Lakh
954,"Sector 11, Uttara, Dhaka",900 sqft,2,2,17.5 Thousand
955,"Sector 14, Uttara, Dhaka","1,200 sqft",3,3,22.8 Thousand
956,"Sector 13, Uttara, Dhaka",950 sqft,3,2,18.5 Thousand
957,"Mohammadia Housing Society, Mohammadpur, Dhaka",800 sqft,2,2,15 Thousand
958,"Sector 3, Uttara, Dhaka","1,600 sqft",3,3,40 Thousand
959,"Sector 11, Uttara, Dhaka","1,120 sqft",3,2,21.5 Thousand
960,"East Nakhalpara, Tejgaon, Dhaka",750 sqft,2,2,18 Thousand
961,"Block A, Niketan, Dhaka",650 sqft,1,2,20 Thousand
962,"Block F, Bashundhara R-A, Dhaka","1,800 sqft",3,4,25 Thousand
963,"Block F, Bashundhara R-A, Dhaka","1,800 sqft",3,4,25 Thousand
964,"Block A, Bashundhara R-A, Dhaka","1,950 sqft",3,4,30 Thousand
965,"Tikatuli, Sutrapur, Dhaka","1,400 sqft",3,3,28 Thousand
966,"Block D, Bashundhara R-A, Dhaka","2,000 sqft",3,4,35 Thousand
967,"Block A, Bashundhara R-A, Dhaka","1,850 sqft",3,3,32 Thousand
968,"Sector 1, Uttara, Dhaka","1,235 sqft",3,3,35 Thousand
969,"Sector 1, Uttara, Dhaka","1,235 sqft",3,3,35 Thousand
970,"Hazaribag, Dhaka","1,050 sqft",3,2,20 Thousand
971,"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",900 sqft,2,2,25 Thousand
972,"Block E, Lalmatia, Dhaka","1,800 sqft",4,4,42 Thousand
973,"Priyanka City, Sector 12, Uttara, Dhaka","1,700 sqft",3,4,26 Thousand
974,"Banani, Dhaka","2,400 sqft",4,4,1.3 Lakh
975,"Banani, Dhaka","2,200 sqft",3,4,80 Thousand
976,"Sector 13, Uttara, Dhaka","1,885 sqft",3,3,30 Thousand
977,"Avenue 8, Mirpur DOHS, Mirpur, Dhaka","2,200 sqft",4,5,32 Thousand
978,"South Pirerbag, Pirerbag, Mirpur, Dhaka","1,200 sqft",3,2,15 Thousand
979,"Sector 9, Uttara, Dhaka",900 sqft,2,2,25 Thousand
980,"Block A, Bashundhara R-A, Dhaka","2,008 sqft",4,4,40 Thousand
981,"Sector 6, Uttara, Dhaka","1,350 sqft",3,3,40 Thousand
982,"Avenue 9, Mirpur DOHS, Mirpur, Dhaka","2,100 sqft",4,4,30 Thousand
983,"Nayatola, Maghbazar, Dhaka",650 sqft,2,1,12 Thousand
984,"Block B, Section 12, Mirpur, Dhaka","1,700 sqft",3,2,17 Thousand
985,"Middle Pirerbag, Pirerbag, Mirpur, Dhaka","1,050 sqft",3,2,15 Thousand
986,"Gulshan 2, Gulshan, Dhaka","1,800 sqft",3,4,90 Thousand
987,"Badda, Dhaka","1,000 sqft",3,2,20 Thousand
988,"Block D, Section 10, Mirpur, Dhaka",650 sqft,2,2,12.5 Thousand
989,"Block D, Lalmatia, Dhaka","1,910 sqft",3,4,40 Thousand
990,"Middle Badda, Badda, Dhaka","1,220 sqft",3,3,18 Thousand
991,"Nikunja 2, Nikunja, Dhaka",800 sqft,2,2,18 Thousand
992,"Sector 3, Uttara, Dhaka","1,500 sqft",3,4,30 Thousand
993,"Banani, Dhaka","2,200 sqft",3,4,90 Thousand
994,"Middle Badda, Badda, Dhaka",650 sqft,2,1,11 Thousand
995,"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",720 sqft,2,2,13.5 Thousand
996,"Sector 12, Uttara, Dhaka",600 sqft,1,1,12 Thousand
997,"Block C, Bashundhara R-A, Dhaka","1,765 sqft",3,3,35 Thousand
998,"Gulshan 1, Gulshan, Dhaka","1,800 sqft",2,3,60 Thousand
999,"Gulshan 1, Gulshan, Dhaka","2,000 sqft",3,3,70 Thousand
1000,"Shiddheswari, Dhaka","1,500 sqft",3,3,25 Thousand
1001,"Block G, Bashundhara R-A, Dhaka","1,600 sqft",3,3,25 Thousand
1002,"Sector 2, Block E, Aftab Nagar, Dhaka","1,300 sqft",3,2,20.4 Thousand
1003,"Block F, Bashundhara R-A, Dhaka","2,000 sqft",3,4,30 Thousand
1004,"Block F, Bashundhara R-A, Dhaka","2,000 sqft",3,4,30 Thousand
1005,"Avenue 1, Mirpur DOHS, Mirpur, Dhaka","2,250 sqft",4,5,30 Thousand
1006,"Sector 10, Uttara, Dhaka","1,550 sqft",3,4,21 Thousand
1007,"Sector 14, Uttara, Dhaka",950 sqft,3,2,19 Thousand
1008,"Sector 14, Uttara, Dhaka",700 sqft,2,1,14 Thousand
1009,"Sector 4, Uttara, Dhaka","1,700 sqft",3,3,55 Thousand
1010,"Block F, Bashundhara R-A, Dhaka","2,000 sqft",3,4,30 Thousand
1011,"Sector 11, Uttara, Dhaka","1,350 sqft",3,3,25 Thousand
1012,"Block A, Bashundhara R-A, Dhaka","2,400 sqft",4,4,50 Thousand
1013,"Sector 10, Uttara, Dhaka",800 sqft,2,2,13 Thousand
1014,"Block B, Bashundhara R-A, Dhaka","2,000 sqft",3,4,32 Thousand
1015,"Sector 13, Uttara, Dhaka","1,700 sqft",3,3,27 Thousand
1016,"Block A, Bashundhara R-A, Dhaka","2,300 sqft",4,5,35 Thousand
1017,"Sector 10, Uttara, Dhaka",900 sqft,2,2,16 Thousand
1018,"Block J, Bashundhara R-A, Dhaka","2,400 sqft",4,4,32 Thousand
1019,"Block C, Bashundhara R-A, Dhaka","2,200 sqft",3,3,40 Thousand
